symbol,description,sector,price,volume_1d,liquidity_value_1d,coverage_score,perf_1m,perf_3m,perf_6m,perf_1y,perf_ytd,revenue_growth_ttm,eps_growth_ttm,roe_ttm,net_margin_ttm,operating_margin_ttm,fcf_margin_ttm,debt_to_equity,vol_1m,momentum_score,fundamental_growth_score,quality_score,risk_score,growth_potential_score_guardrails,rank
WAPCO,Lafarge Africa Plc,Non-energy minerals,339.1,453498.0,153781171.8,1.0,45.536480686695285,83.2972972972973,153.05970149253733,330.60317460317464,153.05970149253733,42.79510022133782,124.54036591248163,47.9367932380802,27.9685053230314,39.5719293150385,36.428133715591,0.0018772244703319,2.738849195050894,75.0,87.5,54.166666666666664,50.0,71.66666666666666,11
STANBIC,Stanbic IBTC Holdings Plc,Finance,163.0,5468530.0,891370390.0,1.0,0.6172839506172839,38.48768054375531,48.18181818181818,136.231884057971,63.0,30.510179498991985,43.63616968717017,41.0400247132996,40.38481657306975,59.21645068643223,34.90467662593793,1.00056726360211,1.4630606225344516,72.08333333333333,64.72222222222223,78.4090909090909,52.08333333333333,71.6161616161616,12
NCR,NCR (Nigeria) PLC,Electronic technology,179.1,76514.0,13703657.4,0.7857142857142857,-10.000000000000002,-10.000000000000002,538.4798245614012,2031.1099713284364,146.35488308115544,43.34396141332533,,,6.36141661894093,6.1773061266871,39.47216683512636,,-1.887379141862766e-15,65.46762589928058,82.05128205128204,47.61323332751905,97.12230215827337,71.20852350040428,13
NAHCO,Nigerian Aviation Handling Co. Plc,Transportation,205.0,1613454.0,330758070.0,0.9285714285714286,23.275829668884136,60.46966731898239,136.29421511418488,216.6023166023166,116.93121693121694,3.26505106374516,16.877215045158326,66.3985626410072,28.1805274869416,37.8291135705221,,0.224184949938236,0.5512275627734855,73.33333333333333,36.666666666666664,100.0,61.66666666666667,71.03571428571429,14
GTCO,Guaranty Trust Holding Company Plc,Finance,147.0,5622372.0,826488684.0,1.0,16.666666666666668,36.11111111111112,65.91422121896164,114.5985401459854,62.07276736493936,25.893828579119045,-15.7008073723396,25.0441165140497,44.75494251341583,60.71168543190086,46.1373809414739,0.1442484909563759,2.1128016058769594,76.66666666666667,48.611111111111114,77.29166666666666,67.70833333333333,70.79861111111111,15
ARADEL,Aradel Holdings Plc,Energy minerals,2009.5,3260944.0,6552866968.0,1.0,57.11493354182956,103.989442696173,183.54734020036685,299.5029821073559,195.51470588235293,19.986164843908067,54.31517581843608,26.968649337298,57.0676836075303,26.8041589680333,10.366067636809966,1.30231639733576,0.3758105445504857,89.49640287769785,57.73794705833541,67.06899297004146,45.07727151612043,70.33742645393674,16
AFRIPRUD,Africa Prudential Plc,Technology services,14.8,6431543.0,95186836.4,0.9285714285714286,8.424908424908427,-7.78816199376947,9.629629629629632,-12.426035502958568,0.0,118.2999100625439,176.46586345381527,22.0577272558877,36.1192240520517,55.4658370021373,,0.0,3.238378761444647,33.597122302158276,91.61065471745083,76.97535220471,65.92725819344524,69.72058532081084,17
VITAFOAM,Vitafoam Nigeria Plc,Process industries,194.0,561357.0,108903258.0,1.0,64.40677966101696,77.98165137614679,167.58631393107729,324.04388546454874,153.04357947830135,20.95529361198824,24.436214698272156,49.2783602161505,13.0449543253463,24.1929670367367,25.29104948437065,0.0913415366728236,1.3135549941990434,76.25,54.76190476190476,77.46336996336996,50.0,69.61881868131869,18
PRESCO,Presco PLC,Consumer non-durables,2300.0,94601.0,217582300.0,1.0,16.161616161616163,29.21348314606741,58.62068965517241,162.88389392218835,58.62068965517241,30.73355111958052,29.748907745663796,42.6183260120226,41.3272254376834,53.0108610580297,30.30898507295362,0.291072443006669,-1.249000902703301e-16,55.38461538461538,42.5,86.38888888888889,76.15384615384616,67.49145299145299,19
REDSTAREX,Red Star Express PLC,Transportation,31.9,2722439.0,86845804.1,1.0,13.321492007104796,43.69369369369369,246.73913043478265,474.7747747747748,234.03141361256544,8.44459130778437,41.15656721008919,16.9824601403619,3.72566948783725,5.59474604190549,4.64964879131334,0.0180488677562406,3.3106848460099965,83.33333333333333,73.33333333333333,37.5,56.666666666666664,67.04166666666666,20
