symbol,price,sma_50,sma_200,above_sma50,above_sma200,golden_cross,death_cross,rsi_14,macd,macd_signal,macd_histogram,bb_position,mom_1m,mom_3m,mom_6m,mom_12m,volatility_20d,volatility_1y,sharpe_1y,sortino_1y,max_drawdown_1y,avg_volume_20d,volume_ratio,mom_score,trend_score,rsi_score,sharpe_score,dd_score,composite_score,signal
PAN,3087.0,3322.325390625,2539.538077392578,False,True,False,False,42.439737034331635,-14.10773576034353,-0.42309972509872296,-13.684636035244807,0.13957539487404927,-13.335204941044354,-0.9272881856729476,45.712161037648215,181.46224066777972,57.545055327491745,47.95468394961927,2.2920866878488915,3.360292157021032,-26.305130739545568,6432352.2,1.761501647873075,1.0,0.7,0.9,1.0,0.5,0.835,HOLD
PHP,2015.0,2137.8538134765627,2182.5981860351562,False,False,False,False,39.39393939393939,-19.16459113560404,-11.10178241262203,-8.06280872298201,-0.04305753336376891,-5.487804878048785,-10.918761442842694,-9.436671924099837,-15.687629154854655,34.473480322230145,49.45157222482578,-0.3517380652153364,-0.43879653760798,-28.03388827614819,62095.85,0.8639224682486834,0.3,0.3,0.9,0.2,0.5,0.40499999999999997,SELL
PIK,2250.0,1941.5,2422.675,True,False,False,False,64.1025641025641,44.19771242368688,17.45159427188696,26.74611815179992,1.0823740376184363,14.155251141552515,9.329446064139946,-16.512059369202227,-15.413533834586469,53.36603576682489,34.84252308802006,-0.5435456933124934,-0.8827810543649796,-44.24969249692497,3280436.05,1.6142613113887712,0.3,0.3,0.7,0.2,0.2,0.32999999999999996,HOLD
PMR,17664.0,17508.18,16533.605771484374,True,True,False,False,53.125,103.12192756662989,121.24840798837245,-18.126480421742556,0.4236673182172421,1.9508253491862027,-5.19536281665951,4.264651460390478,34.17062190024191,19.911427317028746,26.334712453705976,0.9635913133022176,1.632604108842129,-10.28236547682472,215153.2,0.2548463141612581,0.9,0.9,0.9,0.5,0.8,0.825,BUY
PMV,275.0,272.64,275.8622029519081,True,False,False,False,67.12328767123287,1.9059951700943998,-0.7573579502571983,2.663353120351598,0.7931240149364706,10.000000000000009,-14.0625,-7.3965314599710785,12.25807697374588,49.28407939142384,13974.581040552363,1.4046213024738632,50.81616704043543,-99.01000004222094,9882.0,1.2649261283141064,0.7,0.3,0.7,0.8,0.2,0.54,HOLD
PPC,668.0,613.34,563.955,True,True,False,False,72.36842105263158,18.068997724680685,13.66128389069806,4.4077138339826245,0.7680447749183038,10.413223140495864,7.223113964687,25.563909774436098,41.27269201018577,36.981601337924594,32.95154193396482,0.8935604891177105,1.465162946588253,-14.22087745839637,2497472.5,0.7833011174297214,0.9,0.9,0.4,0.5,0.8,0.7499999999999999,HOLD
PPE,185.0,193.64,207.02,False,False,False,False,40.74074074074074,-2.473454412055588,-2.4033887431320182,-0.07006566892356991,0.17553918157234816,-5.128205128205132,-13.953488372093027,-18.85964912280702,56.779661016949156,22.510700261555915,49.07987102307017,0.9281906646165997,1.8546414920608005,-28.846153846153843,602075.25,1.0000759871793434,1.0,0.3,0.9,0.5,0.5,0.6599999999999999,SELL
PPH,2188.0,2300.8,2530.2546643066407,False,False,False,False,37.845303867403324,-36.769671581571856,-35.00161735687316,-1.7680542246986946,0.24894185031662433,-4.035087719298247,-16.552250190694128,-16.757888522486443,-21.109044902551,24.02305949566033,26.610701460030505,-1.022504910735176,-1.6454337418418494,-25.816015547128885,11440408.45,0.8037544323865465,0.3,0.3,0.9,0.2,0.5,0.40499999999999997,SELL
PPR,580.0,319.9701440620422,255.19609501361847,True,True,False,False,87.2750408994482,103.37333183600197,88.76011401533864,14.613217820663323,0.6990892055626715,-1.0238907849829393,9568.059682226489,30.35586086066897,19610.934379269514,35161.56220568668,27617.721336342565,2.8419481414960783,104.74810472855174,-99.2147651154789,1495.3,10.700193941015181,1.0,0.9,0.4,1.0,0.2,0.765,BUY
PRX,76300.0,80921.24,100180.9230078125,False,False,False,False,39.46190788037546,-1356.5952854503266,-900.9703432773592,-455.6249421729674,0.16287499924913154,-6.743097400295783,-7.333187592606083,-37.020222864217914,-18.15223028132824,33.96088533398125,27.1934419022195,-1.0096818776481857,-1.5441263873459399,-40.339521013818775,1338984.65,0.9935371551869546,0.3,0.3,0.9,0.2,0.2,0.36,HOLD
PWR,5400.0,5332.22,7581.155,True,False,False,False,35.31444367657221,15.3140454769582,7.481913924282401,7.832131552675798,0.43643721432948374,5.448154657293491,-16.214119472459267,-44.45587327710348,-49.376581981813075,58.49180130902567,66.43038554102893,-0.8088160705528473,-0.9618810617230096,-57.80444361113716,2238.05,0.5701391836643506,0.3,0.3,0.9,0.2,0.2,0.36,HOLD
