symbol,yahoo,status,days,last_close,from,to
TLM,TLM.JO,OK,1248,1.2999999523162842,2021-05-17,2026-05-14
TMT,TMT.JO,OK,1249,107.0,2021-05-17,2026-05-15
TPC,TPC.JO,OK,1249,4000.0,2021-05-17,2026-05-15
TRL,TRL.JO,OK,1249,127.0,2021-05-17,2026-05-15
TSG,TSG.JO,OK,1249,695.0,2021-05-17,2026-05-15
UPL,UPL.JO,OK,1248,1525.0,2021-05-17,2026-05-14
VAL,VAL.JO,OK,1249,135800.0,2021-05-17,2026-05-15
VIS,VIS.JO,OK,1248,3.0,2021-05-17,2026-05-14
VKE,VKE.JO,OK,1249,2349.0,2021-05-17,2026-05-15
VUN,VUN.JO,OK,1248,204.0,2021-05-17,2026-05-14
WBC,WBC.JO,OK,523,3513.0,2024-04-11,2026-05-15
WBO,WBO.JO,OK,1249,16792.0,2021-05-17,2026-05-15
WVR,WVR.JO,OK,1249,6499.0,2021-05-17,2026-05-15
XII,XII.JO,OK,1248,35.0,2021-05-17,2026-05-15
YRK,YRK.JO,OK,1249,191.0,2021-05-17,2026-05-15
YYLBEE,YYLBEE.JO,OK,1249,5400.0,2021-05-17,2026-05-15
ZED,ZED.JO,OK,1249,130.0,2021-05-17,2026-05-15
ZZD,ZZD.JO,OK,851,1450.0,2022-12-13,2026-05-15
