Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Total assets, Quarterly","Total assets, Quarterly - Currency","Total current assets, Quarterly","Total current assets, Quarterly - Currency","Cash and short-term investments, Quarterly","Cash and short-term investments, Quarterly - Currency","Total liabilities, Quarterly","Total liabilities, Quarterly - Currency","Total debt, Quarterly","Total debt, Quarterly - Currency","Net debt, Quarterly","Net debt, Quarterly - Currency","Total equity, Quarterly","Total equity, Quarterly - Currency","Current ratio, Quarterly","Quick ratio, Quarterly","Debt to equity ratio, Quarterly","Cash to debt ratio, Quarterly"
FSR,FirstRand Limited,2026-H1,2025-12-31,2681769000000,ZAR,189028000000,ZAR,,,2454830000000,ZAR,48138000000,ZAR,-140280000000,ZAR,226939000000,ZAR,18.3077966101695,,0.217429402518564,
SBK,Standard Bank Group Limited,2025-H2,2025-12-31,3620854000000,ZAR,784144000000,ZAR,,,3330802000000,ZAR,300964000000,ZAR,147640000000,ZAR,290052000000,ZAR,1.05441758832823,,1.11608278542318,
VAL,Valterra Platinum Limited,2025-H2,2025-12-31,170670000000,ZAR,52690000000,ZAR,16602000000,ZAR,71727000000,ZAR,5267000000,ZAR,-11335000000,ZAR,98943000000,ZAR,1.17417658332219,0.54826848509159,0.053447121141395895,3.1520789823428896
MTN,MTN Group Limited,2025-H2,2025-12-31,498712000000,ZAR,185913000000,ZAR,51494000000,ZAR,328979000000,ZAR,146722000000,ZAR,95228000000,ZAR,169733000000,ZAR,0.940250952070279,0.933625655575617,1.01189679786478,0.35096304576000875
VOD,Vodacom Group Limited,2025-H2,2026-03-31,276433000000,ZAR,86503000000,ZAR,32761000000,ZAR,169198000000,ZAR,94250000000,ZAR,61489000000,ZAR,107235000000,ZAR,1.09797674654752,1.07116927294882,1.0183244376256,0.3475968169761273
INL,Investec Limited,2025-H1,2025-09-30,1399438642046.21,ZAR,249510354041.859,ZAR,,,1276318344090.4102,ZAR,178877223745.922,ZAR,72914382285.197,ZAR,123120297955.79999,ZAR,3.01104254619023,,1.45264591984992,
INPR,Investec Limited Non-Red.Non-Cum.Non-Ptg.Prf.Shs,2025-H1,2025-09-30,1399438642046.21,ZAR,249510354041.859,ZAR,,,1276318344090.4102,ZAR,178877223745.922,ZAR,72914382285.197,ZAR,123120297955.79999,ZAR,3.01104254619023,,1.45264591984992,
S32,South32 Ltd.,2026-H1,2025-12-31,230087932069.64856,ZAR,58851946964.8323,ZAR,27749968758.708096,ZAR,75728730849.33504,ZAR,28166885356.645355,ZAR,416916597.9372966,ZAR,154359201220.3148,ZAR,2.71252882398155,1.98847040737894,0.182713111207269,0.9851983422143301
IMP,Impala Platinum Holdings Limited,2026-H1,2025-12-31,142676000000,ZAR,63325000000,ZAR,15253000000,ZAR,40729000000,ZAR,3009000000,ZAR,-12244000000,ZAR,101947000000,ZAR,2.92981400943833,1.36064587767188,0.0310068732417588,5.069125955466933
ABG,Absa Group Limited,2025-H2,2025-12-31,2239479000000,ZAR,461790000000,ZAR,,,2058168000000,ZAR,449017000000,ZAR,299618000000,ZAR,181311000000,ZAR,3.43760002977631,,2.6043407903208,
