Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Total assets, Quarterly","Total assets, Quarterly - Currency","Total current assets, Quarterly","Total current assets, Quarterly - Currency","Cash and short-term investments, Quarterly","Cash and short-term investments, Quarterly - Currency","Total liabilities, Quarterly","Total liabilities, Quarterly - Currency","Total debt, Quarterly","Total debt, Quarterly - Currency","Net debt, Quarterly","Net debt, Quarterly - Currency","Total equity, Quarterly","Total equity, Quarterly - Currency","Current ratio, Quarterly","Quick ratio, Quarterly","Debt to equity ratio, Quarterly","Cash to debt ratio, Quarterly"
IOC,iOCO Limited,2026-H1,2026-01-31,2816108000,ZAR,1870486000,ZAR,378939000,ZAR,1913366000,ZAR,725119000,ZAR,346180000,ZAR,902742000,ZAR,1.33803120164757,1.29851946329561,0.828295647306768,0.5225887061296146
AXX,Araxi Limited,2025-H1,2025-09-30,1850648000,ZAR,,,303436000,ZAR,333615000,ZAR,24611000,ZAR,-278825000,ZAR,1517033000,ZAR,2.66295619103342,2.5028230819864,0.0162414646684955,12.329283653650807
LBR,Libstar Holdings Ltd.,2025-H2,2025-12-31,8819157000,ZAR,4405787000,ZAR,488016000,ZAR,4022091000,ZAR,1975689000,ZAR,1487673000,ZAR,4797066000,ZAR,2.26644693860544,1.32568606288948,0.411853620525546,0.24701053657736619
CLH,City Lodge Hotels Limited,2026-H1,2025-12-31,3146496000,ZAR,255372000,ZAR,48268000,ZAR,1958786000,ZAR,1581315000,ZAR,1533047000,ZAR,1187710000,ZAR,0.708172608962111,0.684809224446558,1.3313982369433601,0.030523962651337652
JBL,Jubilee Metals Group PLC,2026-H1,2025-12-31,5863923166.980905,ZAR,1263025549.1095176,ZAR,191957361.9224585,ZAR,1707537179.7163742,ZAR,229857129.59411323,ZAR,37899767.671654716,ZAR,4156385987.2645373,ZAR,0.921585379965238,0.89288555305043,0.0561966915425693,0.8351159794843911
FTH,Frontier Transport Holdings Limited,2025-H1,2025-09-30,3097351000,ZAR,904261000,ZAR,504534000,ZAR,1419983000,ZAR,664195000,ZAR,159661000,ZAR,1677368000,ZAR,1.5283224235172,1.39048353048749,0.397060344420459,0.7596172810695654
ART,Argent Industrial Limited,2025-H1,2025-09-30,2901662000,ZAR,1813745000,ZAR,546727000,ZAR,899387000,ZAR,146692000,ZAR,-400035000,ZAR,2002275000,ZAR,2.52034344854803,1.41991573587978,0.0745293017234634,3.7270403293976493
BWN,Balwin Properties Ltd.,2025-H2,2026-02-28,8437589000,ZAR,,,208590000,ZAR,3860672000,ZAR,3206365000,ZAR,2997775000,ZAR,4576917000,ZAR,3.05271545242496,0.235213385550548,0.709009969013644,0.06505497658563514
ZED,Zeder Investments Limited,2025-H2,2026-02-28,2389000000,ZAR,,,231000000,ZAR,73000000,ZAR,,,,,2316000000,ZAR,3.17808219178082,,,
QFH,Quantum Foods Holdings Ltd,2025-H2,2025-09-30,3475893000,ZAR,1853935000,ZAR,275860000,ZAR,1080819000,ZAR,134429000,ZAR,-141431000,ZAR,2395074000,ZAR,2.82768944963364,1.56499033000018,0.0561272845849439,2.0520869752806314
OAS,Oasis Crescent Property Fund,2025-H2,2026-03-31,1966748000,ZAR,,,279802000,ZAR,70185000,ZAR,1082000,ZAR,-278720000,ZAR,1896563000,ZAR,4.29661981981982,4.29661981981982,0.00057050569899339,258.59704251386324
SCD,Schroder European Real Estate Investment Trust Plc,2025-H2,2025-09-30,4728692323.062782,ZAR,,,578688763.0867968,ZAR,1532356092.1424656,ZAR,1306222266.5557284,ZAR,727533503.4689316,ZAR,3196336230.9203267,ZAR,2.34360628322284,2.34360628322284,0.40866234719606703,0.44302472703416257
NVS,Novus Holdings Ltd.,2025-H1,2025-09-30,3956057000,ZAR,2413963000,ZAR,741795000,ZAR,1614088000,ZAR,570384000,ZAR,-171411000,ZAR,2341969000,ZAR,1.835215078492,1.37094492217702,0.244745693766662,1.3005185979971388
GML,Gemfields Group Limited,2025-H2,2025-12-31,9464154340.01721,ZAR,3393900540.0061703,ZAR,1061358210.00193,ZAR,3128846820.00569,ZAR,1763495390.00321,ZAR,702137180.0012751,ZAR,6335307520.01152,ZAR,1.77118841933225,1.05639003467628,0.31574903133548105,0.6018491548197344
UPL,Universal Partners Ltd.,2026-Q3,2026-03-31,2075475859.3526406,ZAR,,,17891772.333901193,ZAR,166803811.68654174,ZAR,98670769.36967632,ZAR,80778997.03577513,ZAR,1908672047.6660988,ZAR,0.125219587732008,0.125219587732008,0.0516960310129389,0.18132799053049367
MMP,Marshall Monteagle PLC,2025-H1,2025-09-30,1945167617.51653,ZAR,1027386375.00873,ZAR,392891182.50334,ZAR,293672055.002496,ZAR,94388427.5008023,ZAR,-298502755.00253797,ZAR,1651495562.51404,ZAR,3.7701804368471,3.143779677113,0.057153303734656505,4.162493145677212
ACL,ArcelorMittal South Africa Limited,2025-H2,2025-12-31,21014000000,ZAR,10966000000,ZAR,2363000000,ZAR,21443000000,ZAR,9372000000,ZAR,7009000000,ZAR,-429000000,ZAR,0.829438015278723,0.324029952348536,,0.25213401621852327
EMH,eMedia Holdings Limited,2025-H1,2025-09-30,6187297000,ZAR,2215036000,ZAR,220077000,ZAR,1799330000,ZAR,615878000,ZAR,395801000,ZAR,4387967000,ZAR,3.14374114728365,3.12138049861905,0.140467836870851,0.35733862875439615
EMN,eMedia Holdings Limited Class N,2025-H1,2025-09-30,6187297000,ZAR,2215036000,ZAR,220077000,ZAR,1799330000,ZAR,615878000,ZAR,395801000,ZAR,4387967000,ZAR,3.14374114728365,3.12138049861905,0.140467836870851,0.35733862875439615
CPR,Copper 360 Limited,2025-H1,2025-08-31,1364855000,ZAR,243672000,ZAR,0,ZAR,1137614000,ZAR,911538000,ZAR,911538000,ZAR,227241000,ZAR,0.281083674971335,0.262793256907932,3.9865037436148603,0
EPS,Eastern Platinum Limited,2025-Q4,2025-12-31,2958356419.5625,ZAR,838804052.7166667,ZAR,2944631.4425,ZAR,1897623646.8291667,ZAR,1058802957.7766666,ZAR,1055858326.3341666,ZAR,1060732772.7333333,ZAR,0.469652371548865,0.362299265993517,0.990676026960136,0.0027810948400477657
BRN,Brimstone Investment Corporation Limited Class N,2025-H2,2025-12-31,4495572000,ZAR,249623000,ZAR,123169000,ZAR,1393789000,ZAR,1208366000,ZAR,1085197000,ZAR,3101783000,ZAR,1.69241669209126,1.23756059527442,0.39674361643098005,0.10193020988673962
TPC,Transpaco Limited,2026-H1,2025-12-31,1548486000,ZAR,839514000,ZAR,109646000,ZAR,547183000,ZAR,175967000,ZAR,66321000,ZAR,1001303000,ZAR,2.32799341129231,1.60163553021627,0.175738013368581,0.6231054686390062
SSK,Stefanutti Stocks Holdings Limited,2025-H1,2025-08-31,5152126000,ZAR,3210735000,ZAR,386009000,ZAR,5082707000,ZAR,1264640000,ZAR,878631000,ZAR,69419000,ZAR,0.721184169386024,0.569483777295401,18.2174908886616,0.3052323190789474
DNB,Deneb Investments Limited,2025-H1,2025-09-30,3717252000,ZAR,1759821000,ZAR,80289000,ZAR,1772299000,ZAR,942531000,ZAR,862242000,ZAR,1944953000,ZAR,1.23515539624797,0.766496792129575,0.485079097458321,0.08518446608122174
ACT,AfroCentric Investment Corporation Limited,2025-H2,2025-12-31,4180453999.9999995,ZAR,1528763000,ZAR,607359000,ZAR,2237445000,ZAR,743692000,ZAR,136333000,ZAR,1943009000,ZAR,1.20813869590884,1.12333855176322,0.390844152568027,0.816680830236173
APF,Accelerate Property Fund Ltd.,2025-H1,2025-09-30,7926230000,ZAR,,,93401000,ZAR,4130180999.9999995,ZAR,3696662000,ZAR,3603261000,ZAR,3796049000,ZAR,0.577590681744311,0.577590681744311,0.973818304242121,0.025266307820406626
MTA,Metair Investments Limited,2025-H2,2025-12-31,12580989000,ZAR,7023687000,ZAR,1300230000,ZAR,10320040000,ZAR,5538803000,ZAR,4238573000.0000005,ZAR,2260949000,ZAR,1.81441766842106,1.11339169143605,2.5027961461262,0.23474927705498824
SNV,Santova Limited,2025-H1,2025-08-31,2364319000,ZAR,1340174000,ZAR,381654000,ZAR,1045472000,ZAR,442392000,ZAR,60738000,ZAR,1318847000,ZAR,1.7418611059122,1.74013896687254,0.335430824860848,0.8627054738783703
BCF,Bowler Metcalf Limited,2026-H1,2025-12-31,1070700000,ZAR,569000000,ZAR,259200000,ZAR,155700000,ZAR,6900000,ZAR,-252300000,ZAR,915000000,ZAR,5.730110775428,4.61530715005035,0.00754098360655738,37.56521739130435
EPE,EPE Capital Partners Ltd. Class A,2026-H1,2025-12-31,2056053000.0067801,ZAR,,,271969000.000897,ZAR,29240000.000096403,ZAR,0,ZAR,-271969000.000897,ZAR,2026813000.00668,ZAR,31.4735636114911,31.4735636114911,0,
YRK,York Timber Holdings Limited,2026-H1,2025-12-31,4990788000,ZAR,1035278000,ZAR,32741999.999999996,ZAR,1861073000,ZAR,583585000,ZAR,550843000,ZAR,3129715000,ZAR,2.19960226572559,0.530399476486511,0.186465860309964,0.05610493758407087
GPL,Grand Parade Investments Limited,2026-H1,2025-12-31,1164874000,ZAR,131912000,ZAR,128079000.00000001,ZAR,14866000,ZAR,1872000,ZAR,-126207000,ZAR,1149508000,ZAR,10.0397290509171,10.0397290509171,0.00162852281149848,68.41826923076924
MST,Mustek Limited,2026-H1,2025-12-31,4206055000.0000005,ZAR,3620570000,ZAR,346940000,ZAR,2619226000,ZAR,135041000,ZAR,-211899000,ZAR,1586829000,ZAR,1.45210919746298,0.709883777360128,0.08513013706834001,2.5691456668715427
NTU,Nutun Limited,2025-H2,2025-09-30,6604000000,ZAR,,,147000000,ZAR,5208000000,ZAR,4171000000,ZAR,4024000000,ZAR,1396000000,ZAR,5.63230605738576,5.63230605738576,2.9878223495702003,0.03524334691920403
TEX,Texton Property Fund Limited,2026-H1,2025-12-31,2262817000,ZAR,,,65855999.99999999,ZAR,759228000,ZAR,709486000,ZAR,643630000,ZAR,1503589000,ZAR,2.0588785240895,2.0588785240895,0.473550087169643,0.09282212756840867
SZK,SAB Zenzele Kabili Holdings (RF) Limited,2025-H2,2025-12-31,5519993000,ZAR,,,53959000,ZAR,3987900000,ZAR,3965587000,ZAR,3911628000,ZAR,1532093000,ZAR,0.0548232166342577,0.0548232166342577,2.5883461382566204,0.013606812812327658
ENX,enX Group Limited,2025-H2,2025-08-31,1554243000,ZAR,611359000,ZAR,174588000,ZAR,604024000,ZAR,3258000,ZAR,-171330000,ZAR,950219000,ZAR,2.97382527483218,2.13354898336414,0.00342868328248541,53.58747697974217
ADR,Adcorp Holdings Limited,2025-H1,2025-08-31,3173425000,ZAR,2049224000.0000002,ZAR,253052000,ZAR,1686552000,ZAR,360441000,ZAR,107389000,ZAR,1486873000,ZAR,1.57849841050492,1.57849841050492,0.24253779801537298,0.702062196032083
RMH,RMB Holdings Limited,2025-H2,2025-09-30,720000000,ZAR,,,154000000,ZAR,58000000,ZAR,0,ZAR,-154000000,ZAR,662000000,ZAR,3.5,3.5,0,
NWL,Nu-World Holdings Limited,2026-H1,2026-02-28,1721132000,ZAR,1578270000,ZAR,257125999.99999997,ZAR,162592000,ZAR,37124000,ZAR,-220002000,ZAR,1558540000,ZAR,10.8068856432694,6.20437131529755,0.0239253598889962,6.926139424630966
FGL,Finbond Group Limited,2025-H1,2025-08-31,4620508000,ZAR,,,1066925999.9999999,ZAR,3912364000,ZAR,3191014000,ZAR,2124088000.0000002,ZAR,708144000,ZAR,14.6763388510224,14.6763388510224,4.5035706624213905,0.33435328080666515
HLM,Hulamin Limited,2025-H2,2025-12-31,7452866000,ZAR,4921930000,ZAR,59822000,ZAR,3784439000,ZAR,1761034000,ZAR,1701212000,ZAR,3668427000,ZAR,2.66190559889672,0.574794283473723,0.480051531623772,0.03396981546068957
PBT,PBT Holdings Limited,2025-H1,2025-09-30,371640601,ZAR,200956553,ZAR,22694247,ZAR,103883111,ZAR,34943553,ZAR,12249306,ZAR,267757490.00000003,ZAR,2.01864038842538,2.01864038842538,0.146195975484248,0.6494544787703758
AEG,Aveng Limited,2026-H1,2025-12-31,10473650255.3015,ZAR,6092331924.00653,ZAR,3412634936.59802,ZAR,8299786640.49404,ZAR,1281058540.912,ZAR,-2131576395.6860201,ZAR,2173863614.8075104,ZAR,0.884761782499158,0.853606560007703,0.589776981930652,2.66391802373725
SEP,Sephaku Holdings Limited,2025-H1,2025-09-30,1651423000,ZAR,208134000,ZAR,45062000,ZAR,328050000,ZAR,176041000,ZAR,130979000.00000001,ZAR,1323373000,ZAR,1.19840392454916,1.03860061263502,0.13302447609253001,0.25597446049499833
NRL,Newpark REIT Ltd.,2025-H1,2025-08-31,1101695000,ZAR,,,15416000,ZAR,515501999.99999994,ZAR,495750000,ZAR,480334000,ZAR,586193000,ZAR,1.02083219121759,1.02083219121759,0.8457112248013879,0.031096318709026727
CGR,Calgro M3 Holdings Limited,2025-H1,2025-08-31,3466473000,ZAR,3074585000,ZAR,163343000,ZAR,1961831000,ZAR,1255294000,ZAR,1091951000,ZAR,1504642000,ZAR,1.94499076716362,1.65588564061461,0.836127431944843,0.13012330179224946
