Symbol,Description,Price,Price - Currency,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
SEA,Spear REIT Ltd.,1266,ZAC,0,100,0.00009466083543298954,6205733108,ZAR,6.095916795069337,2.0768,ZAR,45.80174108396516,6.58203001579779,Finance,No rating
SBP,Sabvest Capital Ltd.,15700,ZAC,4.6596893540430635,165,0.0780954184021204,5634300786,ZAR,5.29096962916032,29.6732,ZAR,27.666202006642926,0.866608892740484,Finance,No rating
SPG,Super Group Limited,1628,ZAC,-0.42813455657492355,400527,0.8441886639744379,5543946933,ZAR,1.5522797917580426,10.4878,ZAR,,0,Transportation,Buy
RBO,Rainbow Chicken Limited,600,ZAC,-1.639344262295082,43958,0.47430633857906634,5482262150,ZAR,5.829204313611192,1.0293,ZAR,92.42849130678633,5.73770491803279,Process industries,No rating
HDC,Hudaco Industries Limited,19403,ZAC,-0.49743589743589745,1736,0.1826964565727576,5469669886,ZAR,9.800534400113143,19.7979,ZAR,11.981605918685931,5.74358974358974,Distribution services,Strong buy
SYG,Sygnia Ltd.,3232,ZAC,0.6540018685767673,92,0.0045794383219345145,5022893666,ZAR,13.129138400292481,2.4617,ZAR,9.209884210993291,7.19402055434444,Finance,No rating
FBR,Famous Brands Limited,4981,ZAC,-0.300240192153723,15543,0.217039174013947,5006105724,ZAR,8.887976874486993,5.6042,ZAR,17.144648829431436,7.14571657325861,Transportation,No rating
AFT,Afrimat Limited,3136,ZAC,-2.608695652173913,197970,0.6459140236459933,4889132043,ZAR,,-0.66,ZAR,-113.42746119260269,1.08695652173913,Non-energy minerals,Strong buy
CAT,Caxton and CTP Publishers and Printers Limited,1245,ZAC,-4.009252120277564,48764,0.9515743790686421,4585157123,ZAR,7.492327134861889,1.6617,ZAR,-18.603967670830276,13.1071703932151,Consumer services,No rating
OCT,Octodec Investments Limited,1700,ZAC,1.4925373134328357,28280,0.24419159887644235,4458808800,ZAR,8.520876146559068,1.9951,ZAR,54.01420410683958,8.02995223880597,Finance,No rating
LEW,Lewis Group Limited,8299,ZAC,0.593939393939394,5406,0.3221308544869503,4294231310,ZAR,5.6265169697216235,14.7498,ZAR,52.793834296724484,10.1454545454545,Retail trade,No rating
ACS,Acsion Limited,1085,ZAC,-0.2757352941176471,5001,2.1932286641522674,4177441863,ZAR,2.7458622260464645,3.9514,ZAR,75.13518305114793,3.87096774193548,Finance,No rating
BEL,Bell Equipment Limited,4115,ZAC,0.4884004884004884,2033,0.13941941722272133,3916023154,ZAR,11.105114019700446,3.7055,ZAR,-10.40860735009672,2.44200244200244,Producer manufacturing,No rating
MKR,"Montauk Renewables, Inc.",2775,ZAC,0.9090909090909091,4235,0.060163941412964723,3824090364.8424544,ZAR,105.77435064935062,0.26235093696763206,ZAR,-72.65496003145066,0,Process industries,Neutral
NPK,Nampak Limited,47426,ZAC,-1.1958333333333333,2179,0.6997206255418889,3798793259,ZAR,3.456229426121329,137.2189,ZAR,1861.6431502051435,0,Process industries,Strong buy
SUR,Spur Corporation Limited,4224,ZAC,-1.9953596287703015,21598,0.9251699514669156,3619030308,ZAR,11.92378263937897,3.5425,ZAR,19.21989634515716,7.26218097447796,Consumer non-durables,Strong buy
CPP,Collins Property Group Limited,1150,ZAC,6.877323420074349,1551,0.20678621425238317,3547907800,ZAR,6.686046511627907,1.72,ZAR,-60.653337603513755,9.47955390334573,Finance,No rating
KP2,Kore Potash PLC,70,ZAC,0,713758,0.8898476348582481,3508397912.3134327,ZAR,,-0.004490666666666667,ZAR,5.599445821010831,0,Non-energy minerals,No rating
CHP,Choppies Enterprises Limited,165,ZAC,0,362,0.017624834462881694,3340307933.1343284,ZAR,27.027027027027025,0.06105000000000001,ZAR,-33.80162938164305,1.06666666666667,Retail trade,No rating
MCZ,MC Mining Ltd,350,ZAC,-1.4084507042253522,10903,0.44860743660534647,3186799200.8004975,ZAR,,-1.1232041666666668,ZAR,-62.13250700662809,0,Energy minerals,No rating
KAL,KAL Group Limited,4451,ZAC,-0.46958855098389984,30304,0.5219536056549566,3149711926,ZAR,7.804390517604153,5.7032,ZAR,1.9484466054127485,4.695885509839,Commercial services,No rating
MRF,Merafe Resources Limited,123,ZAC,-1.6,382113,0.1362459766284593,3123908386,ZAR,21.57894736842105,0.057,ZAR,-78.65168539325843,9.6,Non-energy minerals,Strong buy
MPT,Mpact Limited,2149,ZAC,2.284626368396002,37163,4.669011872605063,3102794830,ZAR,6.545642837562061,3.2831,ZAR,-3.879259866494901,2.855782960495,Process industries,Buy
IVT,Invicta Holdings Limited,3650,ZAC,0.6896551724137931,9072,0.5111475465255828,3084374914,ZAR,4.629747076283011,7.8838,ZAR,80.6636417800999,3.17241379310345,Distribution services,Strong buy
ORN,Orion Minerals Limited,32,ZAC,-3.0303030303030303,2066756,0.3036184114022746,3054392229.5213933,ZAR,,-0.018905416666666668,ZAR,-78.59546673898427,0,Non-energy minerals,No rating
SHG,Sea Harvest Group Ltd.,834,ZAC,0.6031363088057901,215393,8.379778944051292,2874010521,ZAR,10.473439658420194,0.7963,ZAR,12.854308390022675,9.16767189384801,Process industries,Strong buy
YYLBEE,YeboYethu Limited,5400,ZAC,0,4248,0.02321928118615108,2857461960,ZAR,1.3334716192790361,40.4958,ZAR,693.630698075491,3.74074074074074,Finance,No rating
CMH,Combined Motor Holdings Limited,3900,ZAC,-1.015228426395939,36627,1.5967547867331635,2735337411,ZAR,7.429986664126501,5.249,ZAR,32.35664935195924,4.34010152284264,Retail trade,Neutral
ZZD,Zeda Limited,1446,ZAC,-0.9589041095890412,3931,0.004011113570226783,2722547636,ZAR,4.002325002075895,3.6129,ZAR,12.82203416294537,12.3972602739726,Finance,Neutral
PPE,Purple Group Limited,186,ZAC,-0.53475935828877,556283,1.161648676884948,2622608580,ZAR,38.83089770354906,0.0479,ZAR,43.41317365269461,0,Finance,No rating
SDL,Southern Palladium Ltd.,1841,ZAC,1.098297638660077,2320,0.12522940731944293,2614298661.224876,ZAR,,-0.627215,ZAR,34.40774262592547,0,Non-energy minerals,No rating
CSB,Cashbuild Limited,12694,ZAC,1.1474103585657371,442,0.05677876833748683,2613085182,ZAR,13.052016821411312,9.7257,ZAR,5.059790651701889,5.52191235059761,Retail trade,Buy
MDI,Master Drilling Group Ltd.,1720,ZAC,-0.5780346820809248,166876,0.6975934372474831,2604286070,ZAR,4.751249965470567,3.6201,ZAR,73.8844324895528,3.75722543352601,Non-energy minerals,No rating
IOC,iOCO Limited,415,ZAC,1.2195121951219512,198186,0.2741256613299215,2581037776,ZAR,8.493655341792877,0.4886,ZAR,108.80341880341877,0,Technology services,No rating
AXX,Araxi Limited,210,ZAC,-0.9433962264150944,1,3.731415684184917e-7,2541013955,ZAR,11.241970021413277,0.1868,ZAR,49.91974317817014,5.66037735849057,Finance,No rating
LBR,Libstar Holdings Ltd.,425,ZAC,2.657004830917874,141423,0.6515225365258581,2532202087,ZAR,41.46341463414634,0.1025,ZAR,,6.58823529411765,Consumer non-durables,Neutral
CLH,City Lodge Hotels Limited,418,ZAC,0,492541,1.275082407476202,2157954506,ZAR,10.928104575163399,0.3825,ZAR,5.926336194959854,4.06698564593301,Consumer services,No rating
JBL,Jubilee Metals Group PLC,65,ZAC,-4.411764705882353,160974,0.07998916344455378,2077393551.1343284,ZAR,,,,,0,Non-energy minerals,No rating
FTH,Frontier Transport Holdings Limited,601,ZAC,-11.487481590574374,801,0.059569847691575445,2009198660,ZAR,5.013346680013346,1.1988,ZAR,-9.490373725934308,9.55817378497791,Transportation,No rating
ART,Argent Industrial Limited,3800,ZAC,1.0638297872340425,14386,0.3999744212103772,1998551567,ZAR,7.200788296824075,5.2772,ZAR,17.417230331078677,3.56382978723404,Producer manufacturing,No rating
BWN,Balwin Properties Ltd.,390,ZAC,1.8276762402088773,76938,0.8982092552748108,1989347404,ZAR,7.627615881087425,0.5113,ZAR,6.078838174273858,0,Industrial services,No rating
ZED,Zeder Investments Limited,128,ZAC,0,203509,1.0343295833132151,1965005269,ZAR,,-0.2742,ZAR,-164.67181467181467,0,Finance,No rating
QFH,Quantum Foods Holdings Ltd,951,ZAC,-13.387978142076504,926,0.32342565750410396,1917410408,ZAR,6.93907333090113,1.3705,ZAR,73.92131979695431,3.5751840168244,Process industries,No rating
OAS,Oasis Crescent Property Fund,2825,ZAC,0,879,0.29463028759133875,1861888849,ZAR,14.746567834212039,1.9157,ZAR,-6.796730563393993,4.31295575221239,Miscellaneous,No rating
SCD,Schroder European Real Estate Investment Trust Plc,1400,ZAC,0.5747126436781609,41,0.016691772177665595,1752237354.2238805,ZAR,41.30132523382707,0.33897217391304346,ZAR,330.19422574788865,8.538,Finance,Strong buy
NVS,Novus Holdings Ltd.,541,ZAC,-0.9157509157509158,2208725,57.18174616324586,1722064483,ZAR,7.35554044867437,0.7355,ZAR,-26.37637637637637,10.0732600732601,Commercial services,No rating
GML,Gemfields Group Limited,82,ZAC,-8.88888888888889,68010,1.381808724839033,1551807381,ZAR,,-0.484,ZAR,61.529290199507194,0,Non-energy minerals,Strong buy
UPL,Universal Partners Ltd.,1525,ZAC,0,830,0.04764364847023707,1455831858.283582,ZAR,,-0.23872572402044295,ZAR,62.95230894838593,,Finance,No rating
MMP,Marshall Monteagle PLC,3146,ZAC,-4.666666666666667,10,0.0008780402142418123,1450994649,ZAR,10.284406668846026,3.059,ZAR,175.16416299361342,2.14566053555108,Distribution services,No rating
ACL,ArcelorMittal South Africa Limited,129,ZAC,0.78125,245089,0.5807117794058656,1426704499,ZAR,,-2.7023,ZAR,48.41560722330393,0,Non-energy minerals,No rating
EMH,eMedia Holdings Limited,225,ZAC,0,9500,0.9710524163872761,1386350655,ZAR,4.4326241134751765,0.5076,ZAR,-5.03274087932646,12.8888888888889,Commercial services,No rating
EMN,eMedia Holdings Limited Class N,210,ZAC,0,1753316,1.317613299769433,1386350655,ZAR,4.137115839243498,0.5076,ZAR,-5.03274087932646,13.8095238095238,Commercial services,No rating
CPR,Copper 360 Limited,46,ZAC,6.976744186046512,15927695,5.504040007479391,1268561015,ZAR,,-0.4292,ZAR,-156.69856459330146,0,Non-energy minerals,No rating
EPS,Eastern Platinum Limited,457,ZAC,0,1400,1.353572464468662,1263081486.402985,ZAR,,-1.5449976666666667,ZAR,-32.59363452133224,0,Non-energy minerals,No rating
BRN,Brimstone Investment Corporation Limited Class N,477,ZAC,-5.357142857142857,3100,0.09750359347921128,1262125535,ZAR,29.371921182266014,0.1624,ZAR,,8.33333333333333,Process industries,No rating
TPC,Transpaco Limited,4000,ZAC,-4.761904761904762,2000,0.17118451122542433,1169254292,ZAR,7.97973148203563,5.0127,ZAR,2.0916496945010095,5.47619047619048,Process industries,No rating
SSK,Stefanutti Stocks Holdings Limited,731,ZAC,7.5,915264,3.5287871760380027,1137257075,ZAR,7.005270723526593,1.0435,ZAR,744.2556634304207,0,Industrial services,No rating
DNB,Deneb Investments Limited,249,ZAC,-0.4,10199,2.0456915917843386,1103765793,ZAR,7.053824362606233,0.353,ZAR,66.58801321378007,4.4,Distribution services,No rating
ACT,AfroCentric Investment Corporation Limited,125,ZAC,0,51235,0.6155226806922783,1049696349.9999999,ZAR,,-1.5658,ZAR,-621.9333333333334,4.8,Retail trade,No rating
APF,Accelerate Property Fund Ltd.,50,ZAC,0,11025,0.01242196415083115,1022747437,ZAR,,-0.521,ZAR,-0.25014431402731724,0,Finance,No rating
MTA,Metair Investments Limited,520,ZAC,-0.9523809523809524,5161,0.08615940407942492,1011763664,ZAR,,-2.3227,ZAR,-110.8861449064827,0,Producer manufacturing,Strong buy
SNV,Santova Limited,767,ZAC,-1.9181585677749362,110,0.002651835672975625,984107275,ZAR,7.452390205985232,1.0292,ZAR,3.89662830607711,0,Transportation,No rating
BCF,Bowler Metcalf Limited,1330,ZAC,-1.4814814814814816,633,0.06970290924306825,905110715,ZAR,6.940458174607317,1.9163,ZAR,13.464385102729576,5.48872180451128,Producer manufacturing,No rating
EPE,EPE Capital Partners Ltd. Class A,611,ZAC,2.5167785234899327,680,0.011230796164352791,897240706,ZAR,8.606846034652769,0.7099,ZAR,-27.264344262295083,0,Finance,No rating
YRK,York Timber Holdings Limited,191,ZAC,2.6881720430107525,1,0.00004539182220931077,856301593,ZAR,2.8321470937129303,0.6744,ZAR,70.6909643128322,0,Industrial services,No rating
GPL,Grand Parade Investments Limited,210,ZAC,5,308014,15.636736538041742,853045288,ZAR,17.100977198697066,0.1228,ZAR,,0,Consumer services,No rating
MST,Mustek Limited,1400,ZAC,-3.3816425120772946,21,0.03515232674924674,833754600,ZAR,10.601241859760714,1.3206,ZAR,,0.948930296756384,Electronic technology,No rating
NTU,Nutun Limited,97,ZAC,-5.825242718446602,2182616,2.4883367905980727,807852917,ZAR,,-0.3034,ZAR,76.45141260478113,0,Commercial services,No rating
TEX,Texton Property Fund Limited,261,ZAC,0.38461538461538464,13000,0.6131641629130015,778037153,ZAR,8.521057786483839,0.3063,ZAR,128.2414307004471,0,Finance,No rating
SZK,SAB Zenzele Kabili Holdings (RF) Limited,3400,ZAC,0,1109,2.1626365054602186,767007751,ZAR,1.9040792096951231,17.8564,ZAR,,0,Commercial services,No rating
ENX,enX Group Limited,400,ZAC,0,24641,0.23148565673873997,721683472,ZAR,,,,,0,Distribution services,No rating
ADR,Adcorp Holdings Limited,649,ZAC,0,12112,0.5077086878882638,696612884,ZAR,4.232976780589617,1.5332,ZAR,98.2415309025084,11.5246533127889,Commercial services,No rating
