Symbol,Description,Pre-market price,Pre-market price - Currency,Pre-market change %,Pre-market gap %,Pre-market volume,Price,Price - Currency,Price change % 1 day,Gap % 1 day,Volume 1 day,Volume change % 1 day,Post-market price,Post-market price - Currency,Post-market change %,Post-market volume
ARL,Astral Foods Limited,,,,,,23657,ZAC,-1.078820823750784,0.12962575789253605,274980,-48.91183585200819,,,,
CCD,Cell C Holdings Ltd.,,,,,,2545,ZAC,-3.9622641509433962,-3.735849056603774,11950,-75.7714610113134,,,,
SSS,Stor-Age Property REIT Ltd.,,,,,,1743,ZAC,-0.05733944954128441,0.05733944954128441,139200,-30.401391972160557,,,,
CLI,Clientele Limited,,,,,,1912,ZAC,0.10471204188481677,-0.2617801047120419,19675,-65.6978974162279,,,,
THA,Tharisa Plc,,,,,,2804,ZAC,-1.267605633802817,0.9859154929577465,17899,-59.1458961015247,,,,
BAT,Brait PLC,,,,,,211,ZAC,-2.314814814814815,-2.314814814814815,84060,-89.99264269948641,,,,
AEL,Altron Limited Class A,,,,,,2138,ZAC,-1.0185185185185186,0.787037037037037,90853,-29.76514425306905,,,,
RCL,RCL Foods Limited,,,,,,894,ZAC,0,1.006711409395973,36788,-78.61510916827493,,,,
BTN,Burstone Group Limited,,,,,,955,ZAC,-1.1387163561076603,-1.1387163561076603,681641,20.86540524534237,,,,
OAO,Oando PLC,,,,,,15,ZAC,0,13.333333333333334,8782,-81.70416666666667,,,,
LSK,"Lesaka Technologies, Inc.",,,,,,8300,ZAC,2.4691358024691357,0,16320,-19.748229740361918,,,,
BLU,Blu Label Unlimited Group Ltd,,,,,,835,ZAC,-1.8801410105757932,0.4700352526439483,1161896,19.350355463746396,,,,
PWR,"PowerFleet, Inc.",,,,,,5400,ZAC,-0.09250693802035154,-0.09250693802035154,1276,490.74074074074076,,,,
DIB,Dipula Properties Limited Class B,,,,,,707,ZAC,0.5689900426742532,-0.8534850640113799,316795,80.10153611752266,,,,
WVR,Weaver Fintech Ltd.,,,,,,6499,ZAC,0,0,1000,-22.17898832684825,,,,
EMI,Emira Property Fund Ltd.,,,,,,1500,ZAC,2.3890784982935154,-0.40955631399317405,189420,138.88013115581057,,,,
