Symbol,Description,Technical rating 1 day,Moving averages rating 1 day,Oscillators rating 1 day,Relative strength index (14) 1 day,Momentum (10) 1 day,Awesome oscillator 1 day,Commodity channel index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick pattern 1 day
PHP,Primary Health Properties PLC,Strong sell,Strong sell,Sell,40.41195157466428,-182,-30.9441176470591,-185.35547041294885,17.21011015128663,18.33975434845445,
EXX,Exxaro Resources Limited,Sell,Sell,Sell,42.764327890107694,-979,-256.25000000003274,-41.35814310378017,20.078672823670264,30.11032807254064,
MTM,Momentum Group Limited,Sell,Strong sell,Sell,42.00592506073661,-134,30.197058823513544,-96.85133519330196,17.44921389784525,26.866183414352662,
WHL,Woolworths Holdings Limited,Sell,Strong sell,Neutral,41.053029110122836,-175,-76.44411764706183,-149.66017494134047,16.28865979381443,16.85802270831913,Long Lower Shadow
SNT,Santam Limited,Strong sell,Strong sell,Neutral,34.01426836589755,-1496,-692.5323529411471,-192.36519574929838,9.316874600544345,16.22441238776143,
RDF,Redefine Properties Limited,Sell,Strong sell,Sell,46.57784594435431,-14,0.17058823528975608,-87.6098477225465,25.203252032520325,33.12392214831241,Bearish Harami
TBS,Tiger Brands Limited,Sell,Strong sell,Neutral,37.243596278350914,-547,-1001.2058823529005,-88.54719732687673,13.848527209159107,11.261825853453482,Marubozu Black
DRD,DRDGOLD Ltd.,Strong sell,Strong sell,Neutral,38.258748343664564,-17,-54.14411764705892,-92.94991272447662,40.60498538305327,55.667170723741656,
ARI,African Rainbow Minerals Limited,Strong sell,Strong sell,Sell,32.60797159529393,-1635,-622.858823529481,-195.47026869016787,31.86454136053878,45.686834862102664,
BOX,Boxer Retail Limited,Buy,Strong buy,Sell,68.98769345860572,679,900.8294117647056,149.64994725232935,86.60215447708867,90.03685050559193,Long Upper Shadow
MRP,Mr Price Group Limited,Sell,Strong sell,Neutral,41.277428967611556,-429,-578.958823529354,-103.0458079279118,23.584526555465988,16.28488411871154,
HMN,Hammerson plc,Strong sell,Strong sell,Sell,40.48143488025029,-423,-19.25882352941062,-208.41917567258378,15.983436853002075,22.840552173740942,
SRE,Sirius Real Estate Limited,Strong sell,Strong sell,Sell,39.99319153417274,-113,9.949999999999818,-189.26243316487856,27.210884353741495,41.099773242630384,
KST,PSG Financial Services Limited,Sell,Strong sell,Neutral,38.48154066402506,-151,-67.6941176470591,-150.15574252047597,15.52511415525114,14.419610670511924,Doji
VKE,Vukile Property Fund Limited,Sell,Strong sell,Neutral,46.61163884379541,-48,26.902941176470904,-43.76619637201342,32.08955223880597,38.97180762852402,
DCP,Dis-Chem Pharmacies Limited,Strong buy,Strong buy,Buy,54.399961083120964,58,-20.411764705882433,88.98886685985117,61.20011567379988,54.85629932998352,
AVI,AVI Limited Class Y,Sell,Strong sell,Sell,27.554633385242028,-528,-443.6147058823317,-162.80747312992193,5.700898971884766,4.199988909315234,
PMR,Premier Group Limited,Buy,Buy,Neutral,50.84722020086148,-438,311.9147058823546,20.9090152796615,39.21470795717362,45.47490130706458,
TKG,Telkom SA SOC Ltd.,Sell,Strong sell,Sell,39.68678479350598,-310,-40.35882352943736,-128.25354334472877,24.012652030931235,45.704165515757786,
FFB,Fortress Real Estate Investments Limited Class B,Buy,Strong buy,Sell,64.26116596457075,92,114.39999999999918,142.0298021537609,87.43558722050454,90.17045987388381,
