Symbol,Description,"Revenue per share, Trailing 12 months","Revenue per share, Trailing 12 months - Currency","Basic earnings per share, Trailing 12 months","Basic earnings per share, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Free cash flow per share, Trailing 12 months","Free cash flow per share, Trailing 12 months - Currency","EBIT per share, Trailing 12 months","EBIT per share, Trailing 12 months - Currency","EBITDA per share, Trailing 12 months","EBITDA per share, Trailing 12 months - Currency","Book value per share, Quarterly","Book value per share, Quarterly - Currency","Total debt per share, Quarterly","Total debt per share, Quarterly - Currency","Cash per share, Quarterly","Cash per share, Quarterly - Currency"
PPH,Pepkor Holdings Ltd.,25.8382089234992,ZAR,1.53,ZAR,1.5204,ZAR,1.69463310676149,ZAR,1.043122153834157,ZAR,2.90930535760189,ZAR,4.239699395838283,ZAR,17.13631,ZAR,,,,
BVT,Bidvest Group Limited,378.84953735022,ZAR,17.896,ZAR,17.8868,ZAR,32.9648674403967,ZAR,23.873784551673833,ZAR,34.3169753939729,ZAR,47.6691568773934,ZAR,115.4691,ZAR,,,,
MNP,Mondi plc,334.24987788945185,ZAR,7.0728,ZAR,7.0728,ZAR,41.70089039171286,ZAR,9.626694697959183,ZAR,21.61422580275999,ZAR,43.58444259212141,ZAR,210.24380746666668,ZAR,,,,
PAN,Pan African Resources PLC,7.023657612304137,ZAR,2.0454986666666666,ZAR,2.0454986666666666,ZAR,3.2541473142856536,ZAR,2.177304333434451,ZAR,3.547396412417883,ZAR,3.9163503273493165,ZAR,5.678897066666666,ZAR,,,,
APN,Aspen Pharmacare Holdings Limited,86.5519568151147,ZAR,-4.5055,ZAR,-4.5055,ZAR,15.5892937471885,ZAR,9.95051731893837,ZAR,13.85515069725596,ZAR,18.36707152496626,ZAR,182.6191,ZAR,,,,
OMU,Old Mutual Ltd.,72.289275458228,ZAR,1.97,ZAR,1.8975,ZAR,-0.84444648263396,ZAR,-1.0712291673922314,ZAR,,,,,14.3178,ZAR,,,,
CLS,Clicks Group Limited,227.068347288727,ZAR,14.1272,ZAR,14.1272,ZAR,22.6476967198423,ZAR,18.06788210892889,ZAR,20.63122338019273,ZAR,29.034845807833797,ZAR,26.0479,ZAR,,,,
GRT,Growthpoint Properties Limited,3.93091106759504,ZAR,1.5262,ZAR,1.5117,ZAR,1.71585527820123,ZAR,,,2.567484319302647,ZAR,2.793062015088023,ZAR,19.75715,ZAR,,,,
SHC,Shaftesbury Capital PLC,2.708174032894945,ZAR,4.039354666666667,ZAR,4.032618666666667,ZAR,1.3402698019939219,ZAR,,,1.3183925457758081,ZAR,1.3287554566159674,ZAR,45.52997119999999,ZAR,,,,
QLT,Quilter Plc,150.24650500086452,ZAR,1.993856,ZAR,1.9309866666666664,ZAR,98.95025590990285,ZAR,,,5.519521328523855,ZAR,,,24.3445776,ZAR,,,,
