Symbol,Description,"Dividends per share, Annual","Dividends per share, Annual - Currency","Dividends per share, Quarterly","Dividends per share, Quarterly - Currency","Dividend yield %, Trailing 12 months",Dividend yield % (indicated),"Dividend payout ratio %, Trailing 12 months","Dividends per share growth %, Annual YoY",Continuous dividend payout,Continuous dividend growth
DRD,DRDGOLD Ltd.,0.7,ZAR,0.5,ZAR,1.90033783783784,1.900337837837838,24.317094917727164,74.99999999999997,18,1
ARI,African Rainbow Minerals Limited,10.5,ZAR,5,ZAR,4.91751978184094,4.917519781840941,162.20839354705518,-30,19,0
BOX,Boxer Retail Limited,1.4067,ZAR,0.9537,ZAR,0.517714285714286,1.607657142857143,40.94242971069329,,1,0
MRP,Mr Price Group Limited,8.971,ZAR,3.232,ZAR,6.03608349246066,6.036083492460657,63.32900408975352,10.71208194495866,32,2
HMN,Hammerson plc,3.7048,ZAR,,,5.11786600496278,5.300920758928571,35.84618726917228,-0.34490441757381746,42,3
SRE,Sirius Real Estate Limited,0.9952175092250922,ZAR,,,5.47989924433249,5.692155094679893,46.28765957446809,-19.901851357768866,12,0
KST,PSG Financial Services Limited,0.65,ZAR,,,2.04765450483991,2.419955323901713,46.554934823091244,25,12,11
VKE,Vukile Property Fund Limited,1.317186,ZAR,,,5.73629039026437,5.73629878304658,39.292822443875934,6.0116282438840685,21,4
DCP,Dis-Chem Pharmacies Limited,0.54834,ZAR,0.294173,ZAR,1.54991339648173,1.549913396481732,39.74826485285952,19.89111541110492,9,1
AVI,AVI Limited Class Y,6.26,ZAR,2.45,ZAR,6.88888888888889,6.888888888888889,83.86365393038415,6.101694915254227,38,5
PMR,Premier Group Limited,2.71,ZAR,1.59,ZAR,2.40223463687151,0,40.73088253402923,23.18181818181817,2,1
TKG,Telkom SA SOC Ltd.,1.630472,ZAR,,,2.76820373514431,2.7682003395585744,0,,1,0
FFB,Fortress Real Estate Investments Limited Class B,1.6244,ZAR,,,6.90368608799049,6.903686087990487,61.00875656742557,7.1270059109785375,2,1
RES,Resilient REIT Limited,4.67,ZAR,,,5.57478811030202,5.854363137161275,34.088835358954704,10.66612952913576,23,2
ADH,ADvTECH Limited,1.18,ZAR,0.73,ZAR,2.66907939380231,2.669079393802307,50.33270772905648,16.831683168316825,23,6
PIK,Pick N Pay Stores Limited,0,ZAR,0,ZAR,0,,0,,0,0
KRO,Karooooo Ltd.,,,,,2.80331912984974,3.106674438939085,0,,3,2
HYP,Hyprop Investments Limited,3.076977,ZAR,,,5.56889244444444,5.568888888888888,34.6159592454665,9.892035714285715,37,1
SRI,Supermarket Income REIT Plc,1.5002742857142854,ZAR,,,7.57855822550832,7.626891220320266,125,6.915469210450258,8,7
APH,Alphamin Resources Corp.,2.9128,ZAR,,,7.85714285714286,11.741306818181817,0,267.470811147887,5,1
OPA,Channel VAS Investments Limited,0,ZAR,,,0,,,,0,0
NTC,Netcare Limited,0.85,ZAR,0.49,ZAR,5.0685748360167,5.068574836016696,62.82799911301649,21.428571428571434,5,4
TFG,Foschini Group Limited,3.9,ZAR,1.3,ZAR,5.99900016663889,5.9990001666388935,39.74475038088719,11.428571428571425,4,2
TRU,Truworths International Limited,4.87,ZAR,3.21,ZAR,9.56555620494837,9.565556204948374,65.31948010483045,-7.939508506616255,28,0
TGA,Thungela Resources Limited,4,ZAR,,,9.98157248157248,3.071253071253071,-7.148154435876587,-69.23076923076923,5,0
BYI,Bytes Technology Group Plc,2.203134615384615,ZAR,1.5119551282051285,ZAR,2.92076344707924,3.1314962691451758,47.66355140186916,-6.435988180739273,5,4
DTC,Datatec Limited,2.75,ZAR,1.75,ZAR,4.93226358016572,4.932263580165723,57.853407179993525,111.53846153846155,5,1
CML,Coronation Fund Managers Limited,4.54,ZAR,,,10.0110253583241,10.011025358324146,100.79033833584938,9.927360774818405,22,2
MTH,Motus Holdings Limited,5.5,ZAR,3,ZAR,5.92233009708738,5.922330097087379,39.18293936279548,5.769230769230766,5,1
GCT,Greencoat Renewables Plc,1.3330688499999996,ZAR,,,8.8556566970091,0,-144.58598726114647,2.717256950836134,1,0
LHC,Life Healthcare Group Holdings Limited,0.56,ZAR,0.35,ZAR,5.02242152466368,25.739910313901344,20.665731788323864,12.00000000000001,5,4
GND,Grindrod Limited,0.482,ZAR,,,1.67574361122748,2.019271051529116,15.546381112114565,20.49999999999999,5,1
GNDP,Grindrod Ltd Cum.Non-Red.Non-Ptg.Non-Cnv.Pref.Shs,0.482,ZAR,,,1.67574361122748,9.310344827586206,15.546381112114565,20.49999999999999,5,1
LTE,Lighthouse Properties Plc,0.546199,ZAR,,,7.28265333333333,7.282653333333333,54.240218470705074,7.42855456995062,10,1
OMN,Omnia Holdings Limited,4,ZAR,,,4.09836065573771,6.915983606557377,0,6.666666666666667,5,1
EQU,Equites Property Fund Ltd ZAR,1.339229,ZAR,,,7.64487394957983,7.899831932773109,70.52612538115666,2.136258044047596,11,1
WBC,We Buy Cars Holdings Ltd.,0.6,ZAR,0.3,ZAR,1.65837479270315,1.658374792703151,26.77376171352075,140,2,1
FTB,Fairvest Limited Class B,0.481457,ZAR,,,7.10115044247788,7.1011356932153396,60.99037243476057,11.216164397484885,10,2
FTA,Fairvest Limited Class A,1.425724,ZAR,,,7.87692817679558,7.876906077348066,60.99037243476057,3.0568114873485217,10,8
MSP,MAS P.L.C.,0,ZAR,,,0,,0,,0,0
JSE,JSE Limited,10.61,ZAR,,,6.71944268524382,6.086130462317922,80.36965496345113,28.14009661835749,20,3
SSU,Southern Sun Limited,0.25,ZAR,,,2.4390243902439,2.4390243902439024,0,100,2,1
HCI,Hosken Consolidated Investments Limited,1.7,ZAR,0.6,ZAR,1.089258698941,1.0892586989409985,2.3668016620207224,70,3,2
ISO,"ASP Isotopes, Inc.",0,ZAR,0,ZAR,0,,0,,0,0
SPP,Spar Group Limited,0,ZAR,0,ZAR,0,,0,,0,0
