symbol,description,sector,price,volume_1d,liquidity_value_1d,coverage_score,perf_1m,perf_3m,perf_6m,perf_1y,perf_ytd,revenue_growth_ttm,eps_growth_ttm,roe_ttm,net_margin_ttm,operating_margin_ttm,fcf_margin_ttm,debt_to_equity,vol_1m,momentum_score,fundamental_growth_score,quality_score,risk_score,growth_potential_score_aggressive,rank
MANSARD,AXA Mansard Insurance PLC,Finance,14.0,2209709.0,30935926.0,1.0,-7.834101382488476,-12.5,7.6923076923076925,70.31630170316299,2.1897810218978155,21.00634858017174,-84.69417195614541,5.09743031974372,1.50098438778086,6.09283912945185,13.153183590976722,0.129789695247877,1.2569173778821845,39.16666666666667,25.416666666666664,23.37121212121212,73.125,42.15151515151515,80
CHAMS,Chams Holding Company Plc,Technology services,3.71,16572439.0,61483748.69,0.9285714285714286,1.6438356164383576,-20.556745182012847,6.916426512968293,86.99584709945348,-4.381443298969071,16.970108859684437,20.620437956204388,7.88909094457963,4.35300866053652,7.90645718572558,,0.167623250047811,7.871160139065091,32.230215827338135,46.97950377562028,27.609189994511098,31.78790301092459,41.98030975823784,81
ABCTRANS,ABC Transport PLC,Transportation,5.7,643715.0,3669175.5,1.0,-8.653846153846153,-24.10119840213049,49.214659685863886,95.8762886597938,26.385809312638592,22.477907784691453,3.972036860502069,49.6252618285651,4.61811862283991,6.84401294368551,0.6879098404540732,0.87982228651337,0.2367797947908454,19.999999999999993,41.66666666666667,45.83333333333333,50.0,41.375,82
VFDGROUP,VFD Group PLC,Finance,10.9,551808.0,6014707.2,1.0,0.9259259259259226,-23.50877192982456,3.809523809523813,-26.47736155299837,-2.242152466367713,-4.5138652777329655,-1.892371377882911,12.3467579401015,10.3524607526771,58.4570488414795,105.63656788133886,2.39531251686222,3.5345769874737223,28.333333333333336,31.38888888888889,58.21969696969697,31.458333333333332,41.212121212121204,83
NEM,NEM Insurance Plc,Finance,30.0,2536324.0,76089720.0,0.6428571428571429,-5.956112852664573,-9.090909090909092,0.671140939597313,100.0,11.940298507462684,,,31.8635682745626,,,,0.0025049791942571,1.527269356287869,42.29166666666667,,80.0,76.04166666666667,40.83482142857143,84
WAPIC,Coronation Insurance Plc,Finance,2.71,1443464.0,3911787.44,0.9285714285714286,-5.574912891986068,-20.294117647058822,-6.551724137931032,29.04761904761904,-13.968253968253968,39.415580966280096,-30.53722902921772,14.6426208770353,7.76712996166377,10.3183420749079,,0.0116679532173863,8.545502071255445,21.250000000000004,51.52777777777778,29.166666666666668,35.520833333333336,40.10863095238095,85
ZICHIS,Zichis Agro-Allied Industries Plc,Process industries,29.43,1804691.0,53112056.13,0.5,135.44,236.019661733615,538.4798245614012,2031.1099713284364,413.99225352112563,,,,,,,,5.496117461258659,96.875,,,6.25,39.53125,86
CAVERTON,Caverton Offshore Support Group Plc,Transportation,6.5,1571281.0,10213326.5,0.8571428571428571,18.181818181818183,-16.666666666666664,30.0,60.89108910891089,14.035087719298245,-38.83990701166167,79.26512243871933,,-46.9037362578411,22.3410191293302,43.30884892541359,,4.0221124699582615,16.666666666666664,50.0,55.55555555555555,16.666666666666664,39.404761904761905,87
SUNUASSUR,SUNU Assurances Nigeria Plc,Finance,4.0,428922.0,1715688.0,1.0,-8.045977011494246,-13.04347826086956,-14.8936170212766,-25.0936329588015,-27.272727272727277,32.25665171097759,-24.90082392432102,9.97814664927907,5.89735893862674,11.2827159320799,-7.708851298475928,0.0013915756668924,4.915439688983732,12.5,50.55555555555556,25.075757575757578,60.625,39.3655303030303,88
IMG,Industrial and Medical Gases Nigeria PLC,Process industries,42.3,71066.0,3006091.8,1.0,17.499999999999993,12.799999999999992,30.555555555555557,23.726686585190965,32.18749999999999,-5.448518283784912,5.452742894910775,10.7224607770493,11.6880322537054,16.2822745479425,-48.098792537508,0.0111883182167965,0.4999999999999994,27.5,24.523809523809526,35.73260073260073,70.08928571428572,39.35096153846154,89
ELLAHLAKES,Ellah Lakes Plc,Process industries,10.35,2899641.0,30011284.349999998,0.9285714285714286,1.4705882352941213,-32.352941176470594,-17.200000000000003,238.23529411764704,-25.270758122743683,2088.2527021456985,-32.22184416468187,-6.85766657559754,-254.589075574382,-286.617341172224,,0.0188403838755478,5.630984247213965,17.5,57.14285714285714,7.142857142857142,32.142857142857146,36.839285714285715,90
ETERNA,Eterna PLC,Energy minerals,34.35,390180.0,13402683.0,1.0,-1.857142857142853,10.80645161290323,15.60097987900162,-4.561981727800984,20.52631578947369,-6.143617290216027,-36.70886075949368,46.8383420679522,1.148270836774,1.29128217721366,-4.360048374631016,4.88042570691661,1.1553950522355492,37.697841726618705,17.147954526595306,34.25988602921762,30.165867306155075,36.494200597293286,91
UPDC,UPDC Plc,Finance,4.3,1066517.0,4586023.1,1.0,-13.131313131313137,-23.21428571428571,-27.731092436974794,45.76271186440677,-17.307692307692314,5.987289318277713,52.35457063711911,10.3582036885961,7.31803645775655,8.37518452693905,3.509715820450047,0.214544590654479,6.298556579908583,14.583333333333334,43.75,28.106060606060606,40.20833333333333,36.46590909090909,92
VERITASKAP,Veritas Kapital Assurance Plc,Finance,1.75,13826165.0,24195788.75,0.9285714285714286,-11.616161616161616,-26.16033755274262,-12.5,75.0,1.156069364161851,11.531680674706134,,39.504440056135,22.4236770620895,28.7142480151641,-19.10025727179564,0.0,8.197209105104635,25.000000000000004,17.5,52.803030303030305,50.416666666666664,36.2478354978355,93
UPL,University Press PLC,Consumer services,4.8,471202.0,2261769.6,0.9285714285714286,-7.692307692307699,-22.580645161290327,-5.882352941176468,10.3448275862069,-20.000000000000004,14.4637823511207,-87.66874102441359,1.65202156520458,1.47350290671923,5.62882372681949,-0.8992458012985682,,1.3491291981097344,10.0,39.285714285714285,37.94642857142857,50.0,35.263392857142854,94
UBA,United Bank for Africa PLC,Finance,43.7,16146068.0,705583171.6,1.0,-6.02150537634408,-8.385744234800837,6.326034063260344,25.483390303462556,3.800475059382426,-7.523069719815188,-62.88562101447071,8.49341692660199,15.980909133394608,17.849152166124032,-60.01913902531699,0.726605075844145,4.688954271077554,37.91666666666667,13.61111111111111,24.640151515151516,40.0,35.05018939393939,95
HONYFLOUR,Honeywell Flour Mills Plc,Process industries,18.6,502647.0,9349234.200000001,1.0,-11.428571428571422,-18.24175824175824,-6.999999999999993,24.000000000000007,-15.837104072398189,-0.8582069216947369,53.20823244552058,31.9315108447791,3.55812184266785,0.285452512340295,91.18953999368512,0.557194895644803,4.533391408761674,7.5,42.142857142857146,49.047619047619044,22.767857142857142,34.901785714285715,96
CONHALLPLC,Consolidated Hallmark Holdings Plc,Finance,5.9,502832.0,2966708.8000000003,0.5,26.881720430107524,18.000000000000007,43.20388349514564,100.0,35.94470046082951,,,,,,,,5.170997790301603,72.70833333333333,,,37.5,34.197916666666664,97
LIVESTOCK,Livestock Feeds PLC,Process industries,9.8,1363370.0,13361026.000000002,1.0,31.543624161073836,35.17241379310346,40.00000000000001,12.643678160919558,60.65573770491805,-23.685381917619008,-249.34837580237308,-95.96610387647455,-6.65825174148224,1.54366125497833,22.897146703866696,0.280686567990831,5.338119950166916,43.75,3.3333333333333335,30.897435897435898,27.678571428571427,33.714972527472526,98
SOVRENINS,Sovereign Trust Insurance PLC,Finance,2.43,5578337.0,13555358.91,0.9285714285714286,25.906735751295347,-17.627118644067796,-28.849908659115822,145.4545454545455,-32.73085182534001,13.55222426976458,-71.67173252279635,4.23222711905954,1.39005994456215,1.87987274037972,,0.34202246941334,8.545502071255445,37.291666666666664,22.083333333333336,10.833333333333334,24.270833333333332,33.01488095238095,99
CONOIL,Conoil PLC,Distribution services,194.0,49014.0,9508716.0,1.0,-5.0880626223092,14.792899408284024,1.730466701625596,-29.20596393897365,3.632478632478639,-6.624970639313813,-81.07826838240106,5.11575075416348,0.666012964652096,4.27764561335667,-5.766563738201818,1.38832840981046,-3.8857805861880484e-16,30.575539568345324,12.837108953613807,19.227348667060333,55.765387689848126,33.01321260404887,100
ACADEMY,Academy Press PLC,Consumer services,7.05,875211.0,6170237.55,0.9285714285714286,-10.759493670886082,-15.5688622754491,4.444444444444442,96.7442598027318,-3.4246575342465757,-3.7084370256709263,-88.71028506844154,13.0227479207185,3.02198069705895,-2.85871117621763,,0.502983264821727,0.5547230547230548,25.0,7.142857142857142,54.166666666666664,45.83333333333333,32.88690476190476,101
